B2,B4,Turn,Unit,Poss_labels,New Label
20180826-190151_488_live,0,0,Hello!,,
20180826-190151_488_live,0,0,How are you tonight?,,
20180826-190151_488_live,1,0,I'm doing very well.,,
20180826-190151_488_live,1,0,How are you?,,
20180826-190151_488_live,0,1,I am good thank you.,,
20180826-190151_488_live,0,1,Have you heard of Save the Children?,,Proposed Closeness +
20180826-190151_488_live,1,1,"Yes, I have!",EEPos+,Completed Closeness +
20180826-190151_488_live,1,1,Is it a charity that you are interested in?,,Proposed Closeness +
20180826-190151_488_live,0,2,Children are our future and I believe in charities helping children.,ERPos+,Completed Closeness +
20180826-190151_488_live,1,2,So do I.,ERPos+,Completed Closeness +
20180826-190151_488_live,1,2,Do you regularly donate your time or money to Save the Children?,,Proposed Closeness +
20180826-190151_488_live,0,3,I do donate to Save the children a lot.,ERPos+,Completed Closeness +
20180826-190151_488_live,0,3,Do you make donations?,,Proposed Closeness +
20180826-190151_488_live,1,3,"I haven't yet, but I am thinking about doing so in the future.",ERPos+,Completed Closeness +
20180826-190151_488_live,0,4,Check out URL,,
20180826-190151_488_live,0,4,It is a great site and you can also make donations on their website.,,
20180826-190151_488_live,1,4,Thanks for the information.,,
20180826-190151_488_live,1,4,What are your donations used for?,ERNeg-,
20180826-190151_488_live,0,5,The donations I make go for what ever childrens funding needed.,,
20180826-190151_488_live,0,5,Would you care to donate at the end of the task?,EENeg-,Proposed Social Good +
20180826-190151_488_live,1,5,Sure.,ERPos+,Completed Social Good +
20180826-190151_488_live,1,5,would be happy to donate.,ERPos+,Completed Social Good +
20180826-190151_488_live,0,6,Thats great!,EEPos+,Proposed Closeness +
20180826-190151_488_live,0,6,Thank you.,EEPos+,Proposed Closeness +
20180826-190151_488_live,0,6,How much will you be donating?,EENeg-,Proposed Social Good +
20180826-190151_488_live,1,6,I think I will donate about 20 dollars.,ERPos+,Completed Social Good +
20180826-190151_488_live,0,7,Your an awesome individual.,EEPos+,Proposed Closeness +
20180826-190151_488_live,0,7,The world needs more people like yourself.,EEPos+,Proposed Closeness +
20180826-190151_488_live,1,7,Thank you!,,Completed Closeness +
20180826-190151_488_live,1,7,You are pretty awesome yourself!,ERPos+,Completed Closeness +
20180826-190151_488_live,0,8,Do you do any volunteering?,,Proposed Social Good +
20180826-190151_488_live,1,8,Yes.,EEPos+,Completed Social Good +
20180826-190151_488_live,1,8,Every now and then I volunteer within my community.,EEPos+,Completed Social Good +
20180826-190151_488_live,0,9,Thats fantastic.,EEPos+,Proposed Closeness +
20180826-190151_488_live,0,9,I take in children in need who would otherwise do without.,,
20180826-190151_488_live,0,9,Right now I have 3 extra kids.,,
20180826-190151_488_live,1,9,That is amazing!,ERPos+,Completed Closeness +
